Lots Pending Release,,,,,,,,,,Total Vials Pending Release,
Skus ,Lot,BUD,Qnty,Date Inspection,Date AQL,Date Label,Date Testing Return,Date Final Plate Check,,Sku,Total
Sermorelin 15mg/6mL,PRORX01072026@4,08/05/2026,2700,19-Jan-2026,20-Jan-2026,20-Jan-2026,12-Jan-2026,14-Jan-2026,,Cyanocobalamin 10mg/10mL,
Sermorelin 8mg/3.2mL ,PRORX01082026@2,08/06/2026,2700,19-Jan-2026,20-Jan-2026,20-Jan-2026,13-Jan-2026,15-Jan-2026,,Glutathione 2000mg/10mL ,2700
Tirzepatide 72mg/4mL ,PRORX01122026@1,01/12/2027,2700,20-Jan-2026,20-Jan-2026,20-Jan-2026,19-Jan-2026,19-Jan-2026,,Glutathione 6000mg/30mL,240
Semaglutide 4.5mg/2mL,PRORX01122026@3,01/12/2027,2700,20-Jan-2026,20-Jan-2026,20-Jan-2026,19-Jan-2026,19-Jan-2026,,Gonadorelin 10mg/5mL,
MIC,PRORX01122026@4,04/12/2026,910,20-Jan-2026,20-Jan-2026,20-Jan-2026,19-Jan-2026,19-Jan-2026,,Gonadorelin 6mg/6mL,
Tirzepatide 72mg/4mL,PRORX01132026@1,01/13/2027,2700,21-Jan-2026,21-Jan-2026,21-Jan-2026,20-Jan-2026,20-Jan-2026,,MIC,910
Semaglutide 6.75mg/1.5mL,PRORX01132026@4,01/13/2027,2700,21-Jan-2026,21-Jan-2026,21-Jan-2026,20-Jan-2026,20-Jan-2026,,NAD+ 1000mg/10mL,2700
NAD+ 500mg/2.5mL,PRORX12082025@1,06/06/2026,2700,21-Jan-2026,21-Jan-2026,21-Jan-2026,15-Dec-2025,20-Dec-2025,,NAD+ 1200mg/6mL ,
Glutathione 2000mg/10mL,PRORX01022026@4,07/01/2026,2700,22-Jan-2026,22-Jan-2026,22-Jan-2026,9-Jan-2026,9-Jan-2026,,NAD+ 500mg/2.5mL,2700
Tirzepatide 72mg/4mL,PRORX01132026@2,01/13/2027,2700,22-Jan-2026,22-Jan-2026,22-Jan-2026,20-Jan-2026,20-Jan-2026,,Phenylephrine 2mg/2mL,
Tirzepatide 9mg/1mL,PRORX01152026@2,01/15/2026,2700,22-Jan-2026,22-Jan-2026,22-Jan-2026,22-Jan-2026,22-Jan-2026,,Semaglutide 4.5mg/2mL,5400
Tirzepatide 72mg/4mL ,PRORX01142026@1,01/14/2026,2700,23-Jan-2026,23-Jan-2026,23-Jan-2026,21-Jan-2026,21-Jan-2026,,Semaglutide 6.75mg/1.5mL,8100
Glutathione 6000,PRORX01142026@2,07/14/2026,240,23-Jan-2026,23-Jan-2026,23-Jan-2026,21-Jan-2026,21-Jan-2026,,Semaglutide12.5mg/5mL A,
Semaglutide 4.5mg/2mL,PRORX01142026@3,01/14/2026,2700,23-Jan-2026,23-Jan-2026,23-Jan-2026,21-Jan-2026,21-Jan-2026,,Sermorelin 15mg/6mL ,2700
Sermorelin 9mg/3.6mL ,PRORX01082026@4,08/06/2026,2700,26-Jan-2026,26-Jan-2026,26-Jan-2026,13-Jan-2026,15-Jan-2026,,Sermorelin 8mg/3.2mL ,2700
Tirzepatide 72mg/4mL,PRORX01152026@1,01/15/2026,2700,26-Jan-2026,26-Jan-2026,26-Jan-2026,22-Jan-2026,22-Jan-2026,,Sermorelin 9mg/3.6mL ,2700
Semaglutide 6.75mg/1.5mL,PRORX01152026@3,01/15/2026,2700,26-Jan-2026,26-Jan-2026,26-Jan-2026,22-Jan-2026,22-Jan-2026,,Tirzepatide 18mg/4mL,
Semaglutide 6.75mg/1.5mL,PRORX01162026@1,16-Jan-2027,2700,27-Jan-2026,27-Jan-2026,27-Jan-2026,23-Jan-2026,23-Jan-2026,,Tirzepatide 27mg/mL,
Tirzepatide 72mg/4mL ,PRORX01162026@2,16-Jan-2027,2700,27-Jan-2026,27-Jan-2026,27-Jan-2026,23-Jan-2026,23-Jan-2026,,Tirzepatide 36mg/2mL ,
Tirzepatide 54mg/3mL ,PRORX01162026@3,16-Jan-2027,2700,27-Jan-2026,27-Jan-2026,27-Jan-2026,23-Jan-2026,23-Jan-2026,,Tirzepatide 45mg/2.5mL,
NAD+ 1000mg/10mL,PRORX12052025@1,06/03/2026,2700,27-Jan-2026,27-Jan-2026,27-Jan-2026,10-Dec-2025,16-Dec-2025,,Tirzepatide 54mg/3mL ,2700
,,,,,,,,,,Tirzepatide 72mg/4mL ,16200
,,,,,,,,,,Tirzepatide 9mg/mL,2700
Released Inventory,,,,,,,,,,Tri-Mix 1,
Skus ,Lot,BUD,Qnty Available,,,,,,,Tri-Mix 2,
Cyanocobalamin 10mg/10mL,PRORX11182025@2,02/16/2026,282,,,,,,,,
Glutathione 2000mg/10mL ,PRORX11202025@1,04/19/2026,1858,,,Lots in Quarantine,,,,,
Glutathione 6000mg/30mL,PRORX11142025@2,03/14/2026,15,,,Skus,Lot,Qnty,Notes,Solution,Expected Update
Gonadorelin 10mg/5mL,PRORX11172025@1,02/15/2026,372,,,Tirzepatide 72mg/4mL ,PRORX01022026@1,2700,Low Phenol Potency,,
Gonadorelin 6mg/6mL,PRORX11172025@2,02/15/2026,385,,,Tirzepatide 72mg/4mL ,PRORX01022026@2,2700,Low Phenol Potency,,
MIC,,,,,,Tirzepatide 9mg/1mL,PRORX01072026@1,2700,Partial bad crimps,Recrimp,
Nad Sublingual,PRORX10032025@3,04/03/2026,4,,,NAD+ 1200mg/6mL ,PRORX01092026@2,2700,Out of Spec/failed API and Preservative potency,,
NAD+ 1000mg/10mL,PRORX11122025@2,05/11/2026,822,,,Tirzepatide 72mg/4mL ,PRORX11212025@1,2700,Crimping Issues.,Inspect and recrimp,
NAD+ 1200mg/6mL ,PRORX12172025@2,06/15/2026,472,,,Tirzepatide 72mg/4mL ,PRORX11262025@2,2700,Crimping Issues,,
NAD+ 500mg/2.5mL,PRORX12082025@2,06/06/2026,54,,,Tirzepatide 72mg/4mL ,PRORX12092025@4,2700,Above AQL- needs re-inspection,,
Phenylephrine 2mg/2mL,PRORX11182025@3,02/16/2026,332,,,Tirzepatide 54mg/3mL ,PRORX12172025@1,2700,Low Phenol Potency,,
Sermorelin 15mg/6mL ,PRORX12102025@3,05/09/2026,330,,,MIC ,PRORX12172025@3,420,High AQS,,
Sermorelin 8mg/3.2mL ,PRORX12032025@4,05/02/2026,144,,,Tirzepatide 45mg/2.5mL,PRORX12292025@1,2700,Low Phenol Potency. Plate Hits,,
Sermorelin 9mg/3.6mL ,PRORX12292025@2,07/27/2026,202,,,Tirzepatide 72mg/4mL ,PRORX12302025@1,2700,Low Phenol Potency,,
Tirzepatide 18mg/4mL,"PRORX01062026@2, PRORX01062026@2",01/06/2027,3018,,,Tirzepatide 72mg/4mL ,PRORX12302025@2,2700,Low Phenol Potency,,
Tirzepatide 27mg/mL,"PRORX09192025@2, PRORX01062026@4",09/19/2026,3098,,,,,,,,
Tirzepatide 36mg/2mL ,"PRORX09182025@3, PRORX01072026@2",09/18/2026,299,,,,,,,,
Tirzepatide 45mg/2.5mL,PRORX01082026@1,01/08/2027,295,,,,,,,,
Tirzepatide 54mg/3mL ,PRORX01092026@1,10/03/2026,277,,,,,,,,
Tirzepatide 72mg/4mL ,"PRORX12112025@1, PRORX01052026@4",12/11/2026,3359,,,,,,,,
Tirzepatide 9mg/mL,,,,,,,,,,,
Tri-Mix 1,,,,,,,,,,,
Tri-Mix 2,PRORX12292025@3,03/29/2026,378,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Skus on Schedule,,,,,,Total Vials on Schedule,,,,,
Skus,Qnty,Date,,,,Sku,Qnty,,,,
NAD+ 1200mg/6mL ,2880,20-Jan-2026,,,,Cyanocobalamin 10mg/10mL,,,,,
NAD+ 1200mg/6mL ,2880,21-Jan-2026,,,,Glutathione 2000mg/10mL ,,,,,
Gonad 6,960,21-Jan-2026,,,,Glutathione 6000mg/30mL,,,,,
Tirzepatide 72mg/4mL,2880,22-Jan-2026,,,,Gonadorelin 10mg/5mL,960,,,,
Tirzepatide 72mg/4mL,2880,23-Jan-2026,,,,Gonadorelin 6mg/6mL,960,,,,
Tirzepatide 36mg/2mL,2880,23-Jan-2026,,,,MIC,,,,,
Tirzepatide 72mg/4mL,2880,26-Jan-2026,,,,NAD+ 1000mg/10mL,,,,,
Tirzepatide 9mg/1mL,2880,26-Jan-2026,,,,NAD+ 1200mg/6mL ,5760,,,,
Tirzepatide 72mg/4mL,2880,27-Jan-2026,,,,NAD+ 500mg/2.5mL,,,,,
Gonad 10,960,27-Jan-2026,,,,Phenylephrine 2mg/2mL,,,,,
Tirzepatide 72mg/4mL,2880,28-Jan-2026,,,,Semaglutide12.5mg/5mL ,,,,,
Gonad 2,960,28-Jan-2026,,,,Semaglutide 4.5mg/2mL,,,,,
Tirzepatide 72mg/4mL,2880,29-Jan-2026,,,,Semaglutide 6.75mg/1.5mL,,,,,
Tirzepatide 36mg/2mL,2880,29-Jan-2026,,,,Semaglutide 9,,,,,
Tirzepatide 72mg/4mL,2880,30-Jan-2026,,,,Sermorelin 15mg/6mL ,,,,,
Tirzepatide 18mg/4mL,2880,30-Jan-2026,,,,Sermorelin 8mg/3.2mL ,,,,,
,,,,,,Sermorelin 9mg/3.6mL ,,,,,
,,,,,,Tirzepatide 18mg/4mL,2880,,,,
,,,,,,Tirzepatide 27mg/mL,,,,,
,,,,,,Tirzepatide 36mg/2mL ,5760,,,,
,,,,,,Tirzepatide 45mg/2.5mL,,,,,
,,,,,,Tirzepatide 54mg/3mL ,,,,,
,,,,,,Tirzepatide 72mg/4mL ,20160,,,,
,,,,,,Tirzepatide 9mg/mL,2880,,,,
,,,,,,Tri-Mix 1,,,,,
,,,,,,Tri-Mix 2,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Ship/Shipped to Perfect,,,,,,,,,,,
Name,Batch,BUD,SHIP TO PERFECT DATE,SHIP QNTY,Ready to Ship,Shipped Qnty,Ship Date,Tracking,,,
Cyanocobalamin 10mg/10mL,PRORX11182025@2,02/16/2026,01/02/2026,50,Yes,50,01/02/2026,887578069670 / 887572189173,,,
Glutathione 2000mg/10mL ,PRORX12092025@2,05/08/2026,01/02/2026,200,Yes,200,01/02/2026,887578069670 / 887572189173,,,
NAD+ 1000mg/10mL,PRORX11122025@1,05/11/2026,01/02/2026,329,Yes,329,01/02/2026,887578069670 / 887572189173,,,
NAD+ 1000mg/10mL,PRORX11122025@2,05/11/2026,01/02/2026,300,Yes,300,01/02/2026,887578069670 / 887572189173,,,
NAD+ 500mg/2.5mL,PRORX12082025@2,06/06/2026,01/02/2026,300,Yes,300,01/02/2026,887578069670 / 887572189173,,,
Phenylephrine 2mg/2mL,PRORX11182025@3,02/16/2026,01/02/2026,50,Yes,50,01/02/2026,887578069670 / 887572189173,,,
Tirzepatide 72mg/4mL ,PRORX12112025@2,12/11/2026,01/02/2026,2500,Yes,2762,01/02/2026,887580344907,,,
Tirzepatide 36mg/2mL ,PRORX12102025@2,12/10/2026,01/05/2026,2500,Yes,2690,01/05/2026,887644596926,,,
Tirzepatide 72mg/4mL,PRORX11192025@1,11/19/2026,01/05/2026,2500,Yes,2809,01/05/2026,887644596926,,,
Tirzepatide 72mg/4mL,PRORX11192025@2,11/19/2026,01/05/2026,2500,Yes,2781,01/05/2026,887644596926,,,
Sermorelin 9mg/3.6mL,PRORX11252025@3,04/24/2026,01/06/2026,50,Yes,50,01/06/2026,887676980739,,,
NAD+ 500mg/2.5mL,PRORX12082025@2,06/06/2026,01/06/2026,450,Yes,450,01/06/2026,887676980739,,,
Tirzepatide 45mg/2.5mL,PRORX12222025@1,12/22/2026,01/06/2026,1250,Yes,1495,01/06/2026,887667340080,,,
NAD+ 1000mg/10mL,PRORX11122025@2,05/11/2026,01/06/2026,1000,Yes,1000,01/06/2026,887667340080,,,
Glutathione 2000mg/10mL,PRORX11202025@1,04/19/2026,01/07/2026,800,Yes,800,01/07/2026,887711467023,,,
Glutathione 2000mg/10mL,PRORX12092025@2,05/08/2026,01/07/2026,200,Yes,164,01/07/2026,887711467023,,,
Sermorelin 9mg/3.6mL,PRORX12292025@2,07/27/2026,01/08/2026,200,Yes,200,01/08/2026,887749391430,,,
Sermorelin 9mg/3.6mL,PRORX11252025@3,04/24/2026,01/08/2026,35,Yes,35,01/08/2026,887749391430,,,
NAD+ 1000mg/10mL,PRORX11122025@2,05/11/2026,01/08/2026,500,Yes,500,01/08/2026,887749391430,,,
NAD+ 1200mg/6mL ,PRORX12172025@2,06/15/2026,01/08/2026,200,Yes,200,01/08/2026,887749391430,,,
Sermorelin 15mg/6mL,PRORX12102025@3,05/09/2026,01/08/2026,200,Yes,200,01/08/2026,887749391430,,,
Tri-Mix 2,PRORX12292025@3,03/29/2026,01/12/2026,25,Yes,25,01/12/2026,887841397290 / 887841420720,,,
Tirzepatide 72mg/4mL,PRORX11252025@1,11/25/2026,01/12/2026,1250,Yes,1250,01/12/2026,887841397290 / 887841420720,,,
Tirzepatide 9mg/mL,PRORX09192025@4,09/19/2026,01/12/2026,500,Yes,500,01/12/2026,887841397290 / 887841420720,,,
NAD+ 1200mg/6mL,PRORX12172025@2,06/15/2026,01/13/2026,300,Yes,300,0/13/2026,887876288758,,,
Tirzepatide 72mg/4mL,PRORX01052026@1,01/05/2026,01/14/2026,2753,Yes,2753,01/14/2026,887898611167,,,
Tirzepatide 72mg/4mL,PRORX01052026@2,01/05/2026,01/14/2026,2758,Yes,2758,01/14/2026,887913553613,,,
Tirzepatide 18mg/4mL,PRORX01062026@1,01/06/2026,01/15/2026,2500,Yes,2500,01/15/2026,887939794799,,,
Tirzepatide 45mg/2.5mL,PRORX12222025@1,12/22/026,01/15/2026,1000,Yes,1152,01/15/2026,887945795460,,,
NAD Sublinguals,Prorx10032025@3,03/04/2026,01/15/2026,50,Yes,50,01/15/2026,887947708350,,,
Tirzepatide 45mg/2.5mL,PRORX01082026@1,01/08/2026,01/16/2026,2500,Yes,2500,01/16/2026,887973651354,,,
NAD+ 1200mg/6mL,PRORX12172025@2,06/15/2026,01/16/2026,300,Yes,300,01/16/2026,887974218545,,,
Tirzepatide 27mg/mL,PRORX01062026@3,01/06/2027,01/17/2026,2500,Yes,2739,01/17/2026,887993078404,,,
Tirzepatide 54mg/3mL,PRORX01092026@1,01/09/2027,01/17/2026,2500,Yes,2500,01/17/2026,887992333742,,,
Semaglutide 6.75mg/1.5mL,PRORX01092026@4,01/09/2027,01/17/2026,2500,Yes,2731,01/17/2026,887991466394,,,
Tirzepatide 9mg/mL,PRORX09192025@3,09/19/2026,01/17/2026,51,Yes,51,01/17/2026,887991998474,,,
Tirzepatide 9mg/mL,PRORX09192025@4,09/19/2026,01/17/2026,216,Yes,216,01/17/2026,887991998474,,,
Tirzepatide 72mg/4mL,PRORX01052026@3,01/05/2027,01/19/2026,2757,Yes,2757,01/19/2026,888030904827,,,
Tirzepatide 36mg/2mL,PRORX01072026@2,01/07/2027,01/19/2026,2500,Yes,2500,01/19/2026,888030904827,,,
,,,,,,,,,,,
,,,,,,,,,,,
PerfectRx Inventory,,,,,,,,,,,
SKU,Quantity,In Transit,30 Day Run Rate,Days Supply,,,,,,,
Cyanocobalamin 10mg/10mL,174,,42,124.29,,,,,,,
Glutathione 2000mg/10mL ,955,,1178,24.32,,,,,,,
Glutathione 6000mg/30mL,19,,0,#DIV/0!,,,,,,,
Gonadorelin 10mg/5mL,125,,6,625.00,,,,,,,
Gonadorelin 6mg/6mL,325,,0,#DIV/0!,,,,,,,
