Lots Pending Release,,,,,,,,,,Total Vials Pending Release,,
Skus ,Lot,BUD,Qnty,Date Inspection,Date AQL,Date Label,Date Testing Return,Date Final Plate Check,,Sku,Total,
Tirzepatide 36mg/2mL ,PRORX02282026@2,28-Feb-2027,2700,7-Mar-2026,9-Mar-2026,9-Mar-2026,7-Mar-2026,7-Mar-2026,,Cyanocobalamin 10mg/10mL,,
Tirzepatide 72mg/4mL,PRORX02202026@1,20-Feb-2027,2700,9-Mar-2026,9-Mar-2026,9-Mar-2026,27-Feb-2026,27-Feb-2026,,Glutathione 2000mg/10mL ,,
Tirzepatide 45mg/2.5mL,PRORX02272026@3,27-Feb-2027,2700,9-Mar-2026,9-Mar-2026,9-Mar-2026,6-Mar-2026,6-Mar-2026,,Glutathione 6000mg/30mL,,
Tirzepatide 27mg/3mL (colonar),PRORX03022026@3,02-Mar-2027,2700,9-Mar-2026,9-Mar-2026,9-Mar-2026,9-Mar-2026,9-Mar-2026,,Gonadorelin 10mg/5mL,,
NAD+ 1000mg/10mL,PRORX12052025@1,03-Jun-2026,2700,9-Mar-2026,9-Mar-2026,9-Mar-2026,10-Dec-2025,16-Dec-2025,,Gonadorelin 2mg/mL,,
Tirzepatide 72mg/4mL,PRORX02202026@3,20-Feb-2027,2700,10-Mar-2026,10-Mar-2026,10-Mar-2026,27-Feb-2026,27-Feb-2026,,Gonadorelin 6mg/6mL,,
Tirzepatide 72mg/4mL,PRORX02202026@4,20-Feb-2027,2700,10-Mar-2026,10-Mar-2026,10-Mar-2026,27-Feb-2026,27-Feb-2026,,MIC,,
NAD+ 1200mg/6mL,PRORX02242026@3,24-Feb-2027,2700,10-Mar-2026,10-Mar-2026,10-Mar-2026,3-Mar-2026,3-Mar-2026,,NAD Sublinguals,,
Sermorelin 15mg/6mL ,PRORX03042026@3,30-Sep-2026,2700,10-Mar-2026,10-Mar-2026,11-Mar-2026,11-Mar-2026,11-Mar-2026,,NAD+ 1000mg/10mL,2700,
Semaglutide 9mg/2mL,PRORX03042026@4,04-Mar-2027,2700,10-Mar-2026,10-Mar-2026,11-Mar-2026,11-Mar-2026,11-Mar-2026,,NAD+ 1200mg/6mL ,5400,
Sermorelin 15mg/6mL ,PRORX03042026@5,30-Sep-2026,2700,10-Mar-2026,10-Mar-2026,11-Mar-2026,11-Mar-2026,11-Mar-2026,,NAD+ 500mg/2.5mL,10800,
Tirzepatide 72mg/4mL,PRORX02242026@1,24-Feb-2027,2700,11-Mar-2026,11-Mar-2026,11-Mar-2026,3-Mar-2026,3-Mar-2026,,Phenylephrine 2mg/2mL,,
Tirzepatide 72mg/4mL,PRORX02242026@2,24-Feb-2027,2700,11-Mar-2026,11-Mar-2026,11-Mar-2026,3-Mar-2026,3-Mar-2026,,Semaglutide 2.25mg/2.5mL,,
Tirzepatide 72mg/4mL,PRORX02252026@1,25-Feb-2027,2700,11-Mar-2026,11-Mar-2026,11-Mar-2026,4-Mar-2026,4-Mar-2026,,Semaglutide 4.5mg/2mL,,
Tirzepatide 72mg/4mL,PRORX02252026@2,25-Feb-2027,2700,11-Mar-2026,11-Mar-2026,11-Mar-2026,4-Mar-2026,4-Mar-2026,,Semaglutide 4.5mg/5mL,,
NAD+ 500mg/2.5mL,PRORX02252026@3,25-Feb-2027,2700,12-Mar-2026,12-Mar-2026,12-Mar-2026,4-Mar-2026,4-Mar-2026,,Semaglutide 6.75mg/1.5mL,2700,
NAD+ 500mg/2.5mL,PRORX02252026@4,25-Feb-2027,2700,12-Mar-2026,12-Mar-2026,12-Mar-2026,4-Mar-2026,4-Mar-2026,,Semaglutide 9mg/2mL,2700,
Tirzepatide 72mg/4mL,PRORX02262026@1,26-Feb-2027,2700,12-Mar-2026,12-Mar-2026,12-Mar-2026,5-Mar-2026,5-Mar-2026,,Semaglutide12.5mg/5mL ,5400,
NAD+ 1200mg/6mL,PRORX02262026@3,25-Aug-2026,2700,12-Mar-2026,12-Mar-2026,12-Mar-2026,5-Mar-2026,5-Mar-2026,,Sermorelin 15mg/6mL ,5400,
Tirzepatide 72mg/4mL,PRORX02272026@1,27-Feb-2027,2700,13-Mar-2026,13-Mar-2026,13-Mar-2026,6-Mar-2026,6-Mar-2026,,Sermorelin 8mg/3.2mL ,,
Tirzepatide 72mg/4mL,PRORX02272026@2,27-Feb-2027,2700,13-Mar-2026,13-Mar-2026,13-Mar-2026,6-Mar-2026,6-Mar-2026,,Sermorelin 9mg/3.6mL ,,
Tirzepatide 72mg/4mL,PRORX03022026@1,02-Mar-2027,2700,13-Mar-2026,13-Mar-2026,13-Mar-2026,9-Mar-2026,9-Mar-2026,,Testosterone Sublingual,,
Tirzepatide 72mg/4mL,PRORX03022026@2,02-Mar-2027,2700,13-Mar-2026,13-Mar-2026,13-Mar-2026,9-Mar-2026,9-Mar-2026,,Tirzepatide 18mg/4mL,8100,
Tirzepatide 18mg/4mL,PRORX03022026@4,02-Mar-2027,2700,14-Mar-2026,14-Mar-2026,14-Mar-2026,9-Mar-2026,9-Mar-2026,,Tirzepatide 27mg/mL,2700,
Tirzepatide 72mg/4mL,PRORX03032026@1,03-Mar-2027,2700,14-Mar-2026,14-Mar-2026,14-Mar-2026,10-Mar-2026,10-Mar-2026,,Tirzepatide 36mg/2mL ,2700,
Tirzepatide 72mg/4mL,PRORX03032026@2,03-Mar-2027,2700,16-Mar-2026,16-Mar-2026,16-Mar-2026,10-Mar-2026,10-Mar-2026,,Tirzepatide 45mg/2.5mL,2700,
Tirzepatide 9mg/1mL,PRORX03032026@3,03-Mar-2027,2700,16-Mar-2026,16-Mar-2026,16-Mar-2026,10-Mar-2026,10-Mar-2026,,Tirzepatide 54mg/3mL ,,
Tirzepatide 9mg/1mL,PRORX03032026@4,03-Mar-2027,2700,16-Mar-2026,16-Mar-2026,16-Mar-2026,10-Mar-2026,10-Mar-2026,,Tirzepatide 72mg/4mL ,43200,
NAD+ 500mg/2.5mL,PRORX03042026@1,04-Mar-2027,2700,16-Mar-2026,16-Mar-2026,16-Mar-2026,11-Mar-2026,11-Mar-2026,,Tirzepatide 9mg/mL,5400,
NAD+ 500mg/2.5mL,PRORX03042026@2,04-Mar-2027,2700,17-Mar-2026,17-Mar-2026,17-Mar-2026,11-Mar-2026,11-Mar-2026,,Tri-Mix 1,,
NAD Sublinguals,PRORX03042026@6,31-Aug-2026,160,17-Mar-2026,17-Mar-2026,17-Mar-2026,11-Mar-2026,11-Mar-2026,,Tri-Mix 2,,
Tirzepatide 18mg/4mL,PRORX03052026@1,05-Mar-2027,2700,17-Mar-2026,17-Mar-2026,17-Mar-2026,12-Mar-2026,12-Mar-2026,,,,
Tirzepatide 18mg/4mL,PRORX03052026@2,05-Mar-2027,2700,17-Mar-2026,17-Mar-2026,17-Mar-2026,12-Mar-2026,12-Mar-2026,,,,
Semaglutide 12.5mg/5mL,PRORX02162026@3,16-Feb-2027,2700,18-Mar-2026,18-Mar-2026,18-Mar-2026,23-Feb-2026,23-Feb-2026,,,,
Semaglutide 12.5mg/5mL,PRORX02162026@4,16-Feb-2027,2700,18-Mar-2026,18-Mar-2026,18-Mar-2026,23-Feb-2026,23-Feb-2026,,,,
Semaglutide 6.75mg/1.5mL,PRORX02172026@4,17-Feb-2026,2700,18-Mar-2026,18-Mar-2026,18-Mar-2026,24-Feb-2026,24-Feb-2026,,,,
Tirzepatide 72mg/4mL,PRORX03062026@1,06-Mar-2027,2700,18-Mar-2026,18-Mar-2026,18-Mar-2026,13-Mar-2026,13-Mar-2026,,,,
Tirzepatide 72mg/4mL,PRORX03062026@1,06-Mar-2027,2700,18-Mar-2026,18-Mar-2026,18-Mar-2026,13-Mar-2026,13-Mar-2026,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Released Inventory,,,,,,Batches Made Last 7 Days,18,,,,,
Skus ,Lot,BUD,Qnty Available,,,Batches Pending Release,38,,,,,
Cyanocobalamin 10mg/10mL,,,,,,Vials Pending Release,100060,,,,,
Glutathione 2000mg/10mL ,PRORX01022026@4,07/01/2026,202,,,,,,,,,
Glutathione 6000mg/30mL,PRORX01142026@2,07/14/2026,335,,,Lots in Quarantine,,,,,,
Gonadorelin 10mg/5mL,,,,,,Skus,Lot,Production Date,Qnty,Notes,Solution,Expected Update
Gonadorelin 2mg/mL,,,,,,Tirzepatide 72mg/4mL ,PRORX01022026@1,02-Jan-2026,2700,Low Phenol Potency,Reprocess,11-Mar-2026
Gonadorelin 6mg/6mL,PRORX01212026@2,07/20/2026,594,,,Tirzepatide 72mg/4mL ,PRORX01022026@2,02-Jan-2026,2700,Low Phenol Potency,Reprocess,11-Mar-2026
MIC,,,,,,Tirzepatide 9mg/1mL,PRORX01072026@1,07-Jan-2026,2700,Partial bad crimps,Inspect and recrimp,11-Mar-2026
Nad Sublingual,PRORX10222025@1,04/20/2026,156,,,NAD+ 1200mg/6mL ,PRORX01092026@2,09-Jan-2026,2700,Out of Spec/failed API and Preservative potency,Dispose,23-Jan-2026
NAD+ 1000mg/10mL,PRORX11122025@2,05/11/2026,17,,,MIC,PRORX01122026@4,12-Jan-2026,960,High AQL,Reinspect,11-Mar-2026
